id,name,location,phone_number,created
1,Meevee,65647 Algoma Lane,(285) 6545998,2020-10-11 15:42:29
2,Yacero,389 Huxley Parkway,(312) 6232657,2021-03-23 10:20:11
3,Mybuzz,0 Kenwood Crossing,(478) 2832518,2017-07-04 00:30:57
4,Linkbridge,0 Kenwood Alley,(105) 9792731,2017-02-18 03:14:06
5,Blogpad,74183 New Castle Plaza,(551) 7753539,2020-08-06 10:23:54
6,Gabvine,846 Buell Drive,(651) 1033930,2015-05-29 19:22:56
7,Tagopia,165 Ruskin Junction,(473) 4737553,2021-09-27 09:36:04
8,Vidoo,6036 Esker Park,(978) 9690100,2021-12-19 07:05:22
9,Innotype,01851 Prairieview Plaza,(690) 5555915,2013-12-07 15:32:37
10,Skyndu,97557 Kensington Avenue,(535) 9128563,2013-06-06 09:26:00
