user_id,vehicle_id
1,62
2,36
3,24
4,12
5,42
6,15
7,78
8,44
9,47
10,65
11,76
12,31
13,47
14,44
15,20
16,79
17,60
18,15
19,10
20,37
21,11
22,26
23,41
24,44
25,8
26,74
27,61
28,42
29,95
30,26
31,34
32,17
33,54
34,42
35,66
36,80
37,30
38,7
39,37
40,65
41,13
42,28
43,81
44,53
45,56
46,51
47,20
48,69
49,26
50,53
51,13
52,53
53,40
54,21
55,44
56,50
57,86
58,5
59,6
60,51
61,43
62,11
63,49
64,1
65,77
66,88
67,52
68,77
69,15
70,13
71,100
72,6
73,9
74,21
75,7
76,39
77,70
78,80
79,3
80,31
81,82
82,7
83,59
84,46
85,34
86,7
87,65
88,53
89,28
90,99
91,61
92,52
93,43
94,3
95,64
96,70
97,73
98,35
99,3
100,3
101,66
102,20
103,33
104,91
105,1
106,24
107,63
108,6
109,26
110,3
111,96
112,37
113,83
114,10
115,53
116,21
117,17
118,47
119,36
120,27
121,58
122,27
123,7
124,23
125,26
126,30
127,50
128,83
129,72
130,74
131,42
132,73
133,10
134,56
135,44
136,48
137,93
138,93
139,31
140,13
141,86
142,10
143,7
144,84
145,28
146,16
147,84
148,1
149,49
150,47
